# Sample model initialization file. Each line has the form:
#
# project | model_id | URL | description
#
# To configure the publisher database with this information:
#
# - In esg.ini, in the [initialize] section, uncomment the line:
#     initial_models_table = %(home)s/.esgcet/esgcet_models_table.txt
#
# - Run:
#     % esginitialize -c -i /esg/config/esgcet/esg.ini
cmip5 | canesm2 |  | CanESM2, Canadian Centre for Climate Modelling and Analysis
cmip5 | ccsm4 |  | Community Climate System Model 4
cmip5 | ccsm4-rsmas |  | University of Miami - RSMAS
cmip5 | cesm-cam5-1-fv2 |  | Community Earth System Model 1
cmip5 | cesm1-bgc |  | Community Earth System Model 1
cmip5 | cesm1-cam5 |  | Community Earth System Model 1
cmip5 | cesm1-chem |  | Community Earth System Model 1
cmip5 | cesm1-chem-cam5 |  | Community Earth System Model 1
cmip5 | cesm1-fastchem |  | Community Earth System Model 1
cmip5 | cesm1-waccm |  | Community Earth System Model 1
cmip5 | cmcc-cesm |  | CMCC-CESM, Centro Euro-Mediterraneo per I Cambiamenti Climatici
cmip5 | cmcc-cm |  | CMCC-CM, Centro Euro-Mediterraneo per I Cambiamenti Climatici
cmip5 | cmcc-cms |  | CMCC-CMS, Centro Euro-Mediterraneo per I Cambiamenti Climatici
cmip5 | cnrm-cerfacs |  | CNRM-CERFACS, Centre National de Recherches Meteorologiques / Centre Europeen de Recherche et Formation Avancees en Calcul Scientifique (CNRM/CERFACS)
cmip5 | cnrm-cm5 |  | CNRM-CM5, Centre National de Recherches Meteorologiques / Centre Europeen de Recherche et Formation Avancees en Calcul Scientifique (CNRM/CERFACS)
cmip5 | cnrm-cm5-2 |  | CNRM-CM5.2, Centre National de Recherches Meteorologiques / Centre Europeen de Recherche et Formation Avancees en Calcul Scientifique (CNRM/CERFACS)
cmip5 | csiro-mk3-5A |  | CSIRO-Mk3.5A, Commonwealth Scientific and Industrial Research Organization/Queensland Climate Change Centre of Excellence (CSIRO-QCCCE)
cmip5 | csiro-mk3-6 |  | CSIRO-Mk3.6, Commonwealth Scientific and Industrial Research Organization/Queensland Climate Change Centre of Excellence (CSIRO-QCCCE)
cmip5 | csiro-mk3-6-0 |  | CSIRO-Mk3.6, Commonwealth Scientific and Industrial Research Organization/Queensland Climate Change Centre of Excellence (CSIRO-QCCCE)
cmip5 | csiro-mk3l-1-2 |  | CSIRO-Mk3L-1-2, University of New South Wales, Australia
cmip5 | ec-earth |  | EC-EARTH consortium
cmip5 | fgoals-g2 |  | FGOALS-G2.0, LASG, Institute of Atmospheric Physics, Chinese Academy of Sciences
cmip5 | fgoals-gl |  | FGOALS-GL, LASG, Institute of Atmospheric Physics, Chinese Academy of Sciences
cmip5 | fgoals-s2 |  | FGOALS-S2.0, LASG, Institute of Atmospheric Physics, Chinese Academy of Sciences
cmip5 | fio-esm |  | FIO-ESM, First Institute of Oceanography, SOA, China
cmip5 | geos-5 |  | NASA Global Modeling and Assimilation Office
cmip5 | gfdl-cm2p1 |  | GFDL-CM2.1, Geophysical Fluid Dynamics Laboratory
cmip5 | gfdl-cm3 |  | GFDL-CM3, Geophysical Fluid Dynamics Laboratory
cmip5 | gfdl-esm2g |  | GFDL-ESM2G, Geophysical Fluid Dynamics Laboratory
cmip5 | gfdl-esm2m |  | GFDL-ESM2M, Geophysical Fluid Dynamics Laboratory
cmip5 | gfdl-hiram-c180 |  | GFDL-HIRAM-C180, Geophysical Fluid Dynamics Laboratory
cmip5 | gfdl-hiram-c360 |  | GFDL-HIRAM-C360, Geophysical Fluid Dynamics Laboratory
cmip5 | giss-e2-h |  | NASA Goddard Institute for Space Studies
cmip5 | giss-e2-h-cc |  | NASA Goddard Institute for Space Studies
cmip5 | giss-e2-r |  | NASA Goddard Institute for Space Studies
cmip5 | giss-e2-r-cc |  | NASA Goddard Institute for Space Studies
cmip5 | giss-e2cs-h |  | NASA Goddard Institute for Space Studies
cmip5 | giss-e2cs-r |  | NASA Goddard Institute for Space Studies
cmip5 | hadcm3 |  | HadCM3, Met Office Hadley Centre
cmip5 | hadcm3q |  | HadCM3Q, Met Office Hadley Centre
cmip5 | hadgem2-ao |  | HadGEM2-AO, National Institute of Meteorological Research/Korea Meteorological Administration
cmip5 | hadgem2-cc |  | HadGEM2-CC, Met Office Hadley Centre
cmip5 | hadgem2-es |  | HadGEM2-ES, Met Office Hadley Centre
cmip5 | higem1-2 |  | HiGEM1.2, Natural and Environmental Research Council/Met Office Hadley Centre
cmip5 | inmcm4 |  | Institute for Numerical Mathematics
cmip5 | ipsl-cm5a-lr |  | IPSL-CM5A-LR, Institut Pierre-Simon Laplace
cmip5 | ipsl-cm5a-mr |  | IPSL-CM5A-MR, Institut Pierre-Simon Laplace
cmip5 | ipsl-cm5b |  | IPSL-CM5B, Institut Pierre-Simon Laplace
cmip5 | ipsl-cm5b-lr |  | IPSL-CM5B-LR, Institut Pierre-Simon Laplace
cmip5 | miroc-esm |  | MIROC-ESM, Atmosphere and Ocean Research Institute (The University of Tokyo), National Institute for Environmental Studies, and Japan Agency for Marine-Earth Science and Technology
cmip5 | miroc-esm-chem |  | MIROC-ESM-CHEM, Atmosphere and Ocean Research Institute (The University of Tokyo), National Institute for Environmental Studies, and Japan Agency for Marine-Earth Science and Technology
cmip5 | miroc4h |  | MIROC4h, Atmosphere and Ocean Research Institute (The University of Tokyo), National Institute for Environmental Studies, and Japan Agency for Marine-Earth Science and Technology
cmip5 | miroc4m |  | MIROC4m, Atmosphere and Ocean Research Institute (The University of Tokyo), National Institute for Environmental Studies, and Japan Agency for Marine-Earth Science and Technology
cmip5 | miroc5 |  | MIROC5, Atmosphere and Ocean Research Institute (The University of Tokyo), National Institute for Environmental Studies, and Japan Agency for Marine-Earth Science and Technology
cmip5 | mpi-esm-hr |  | MPI-ESM-HR, Max Planck Institute for Meteorology (MPI-M)
cmip5 | mpi-esm-lr |  | MPI-ESM-LR, Max Planck Institute for Meteorology (MPI-M)
cmip5 | mri-agcm3-2h |  | MRI-AGCM3.2H, Meteorological Research Institute
cmip5 | mri-agcm3-2h |  | mri-agcm3.2H, Meteorological Research Institute
cmip5 | mri-agcm3-2s |  | MRI-AGCM3.2S, Meteorological Research Institute
cmip5 | mri-cgcm3 |  | MRI-CGCM3, Meteorological Research Institute
cmip5 | mri-esm1 |  | MRI-ESM1, Meteorological Research Institute
cmip5 | noresm1 |  | NorESM1, Norwegian Climate Centre (NorClim)
cmip5 | pcmdi-test |  | PCMDI
cmip6 | ACCESS-1-0 |  | CSIRO-BOM, Commonwealth Scientific and Industrial Research Organisation and Bureau of Meteorology, Melbourne, Victoria 3208, Australia
cmip6 | ACCESS-CM2 |  | CSIRO-ARCCSS-BoM, Commonwealth Scientific and Industrial Research Organisation, Australian Research Council Centre of Excellence for Climate System Science, and Bureau of Meteorology, Aspendale, Victoria 3195, Australia
cmip6 | ACCESS-ESM1-5 |  | CSIRO, Commonwealth Scientific and Industrial Research Organisation, Aspendale, Victoria 3195, Australia
cmip6 | ARTS-2-3 |  | UHH, Universitat Hamburg, Hamburg 20148, Germany
cmip6 | AWI-CM-1-0-HR |  | AWI, Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Am Handelshafen 12, 27570 Bremerhaven, Germany
cmip6 | AWI-CM-1-0-LR |  | AWI, Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Am Handelshafen 12, 27570 Bremerhaven, Germany
cmip6 | AWI-CM-1-0-MR |  | AWI, Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Am Handelshafen 12, 27570 Bremerhaven, Germany
cmip6 | AWI-CM-1-1-HR |  | AWI, Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Am Handelshafen 12, 27570 Bremerhaven, Germany
cmip6 | AWI-CM-1-1-LR |  | AWI, Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Am Handelshafen 12, 27570 Bremerhaven, Germany
cmip6 | AWI-CM-1-1-MR |  | AWI, Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research, Am Handelshafen 12, 27570 Bremerhaven, Germany
cmip6 | BCC-CSM2-HR |  | BCC, Beijing Climate Center, Beijing 100081, China
cmip6 | BCC-CSM2-MR |  | BCC, Beijing Climate Center, Beijing 100081, China
cmip6 | BCC-ESM1 |  | BCC, Beijing Climate Center, Beijing 100081, China
cmip6 | BESM-2-7 |  | INPE, National Institute for Space Research, Cachoeira Paulista, SP 12630-000, Brazil
cmip6 | BESM-2-7 |  | INPE, National Institute for Space Research, Cachoeira Paulista, SP 12630-000, Brazil
cmip6 | BNU-ESM-1-1 |  | BNU, Beijing Normal University, Beijing 100875, China
cmip6 | BNU-ESM-1-1 |  | BNU, Beijing Normal University, Beijing 100875, China
cmip6 | CAMS-CSM1-0 |  | CAMS, Chinese Academy of Meteorological Sciences, Beijing 100081, China
cmip6 | CAMS_CSM1-0 |  | CAMS, Chinese Academy of Meteorological Sciences, Beijing 100081, China
cmip6 | CAS-ESM1-0 |  | CAS, Chinese Academy of Sciences, Beijing 100029, China
cmip6 | CESM2 |  | NCAR, National Center for Atmospheric Research, Climate and Global Dynamics Laboratory, 1850 Table Mesa Drive, Boulder, CO 80305, USA
cmip6 | CIESM |  | THU, Department of Earth System Science, Tsinghua University, Beijing 100084, China
cmip6 | CIESM |  | THU, Department of Earth System Science, Tsinghua University, Beijing 100084, China
cmip6 | CMCC-CM2-HR4 |  | CMCC, Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici, Lecce 73100, Italy
cmip6 | CMCC-CM2-HR4 |  | CMCC, Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici, Lecce 73100, Italy
cmip6 | CMCC-CM2-HR5 |  | CMCC, Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici, Lecce 73100, Italy
cmip6 | CMCC-CM2-HR5 |  | CMCC, Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici, Lecce 73100, Italy
cmip6 | CMCC-CM2-SR5 |  | CMCC, Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici, Lecce 73100, Italy
cmip6 | CMCC-CM2-SR5 |  | CMCC, Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici, Lecce 73100, Italy
cmip6 | CMCC-CM2-VHR4 |  | CMCC, Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici, Lecce 73100, Italy
cmip6 | CMCC-CM2-VHR4 |  | CMCC, Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici, Lecce 73100, Italy
cmip6 | CMCC-ESM2-HR5 |  | CMCC, Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici, Lecce 73100, Italy
cmip6 | CMCC-ESM2-HR5 |  | CMCC, Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici, Lecce 73100, Italy
cmip6 | CMCC-ESM2-SR5 |  | CMCC, Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici, Lecce 73100, Italy
cmip6 | CMCC-ESM2-SR5 |  | CMCC, Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici, Lecce 73100, Italy
cmip6 | CNRM-CM6-1 |  | CNRM-CERFACS, CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France), CERFACS (Centre Europeen de Recherche et de Formation Avancee en Calcul Scientifique, Toulouse 31057, France)
cmip6 | CNRM-CM6-1 |  | CNRM-CERFACS, CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France), CERFACS (Centre Europeen de Recherche et de Formation Avancee en Calcul Scientifique, Toulouse 31057, France)
cmip6 | CNRM-CM6-1-HR |  | CNRM-CERFACS, CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France), CERFACS (Centre Europeen de Recherche et de Formation Avancee en Calcul Scientifique, Toulouse 31057, France)
cmip6 | CNRM-CM6-1-HR |  | CNRM-CERFACS, CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France), CERFACS (Centre Europeen de Recherche et de Formation Avancee en Calcul Scientifique, Toulouse 31057, France)
cmip6 | CNRM-ESM2-1 |  | CNRM-CERFACS, CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France), CERFACS (Centre Europeen de Recherche et de Formation Avancee en Calcul Scientifique, Toulouse 31057, France)
cmip6 | CNRM-ESM2-1 |  | CNRM-CERFACS, CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France), CERFACS (Centre Europeen de Recherche et de Formation Avancee en Calcul Scientifique, Toulouse 31057, France)
cmip6 | CNRM-ESM2-1-HR |  | CNRM-CERFACS, CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France), CERFACS (Centre Europeen de Recherche et de Formation Avancee en Calcul Scientifique, Toulouse 31057, France)
cmip6 | CNRM-ESM2-1-HR |  | CNRM-CERFACS, CNRM (Centre National de Recherches Meteorologiques, Toulouse 31057, France), CERFACS (Centre Europeen de Recherche et de Formation Avancee en Calcul Scientifique, Toulouse 31057, France)
cmip6 | CSIRO-Mk3L-1-3 |  | UTAS, Institute for Marine and Antarctic Studies, University of Tasmania, Hobart, Tasmania 7001, Australia
cmip6 | CanESM5 |  | CCCma, Canadian Centre for Climate Modelling and Analysis, Victoria, BC V8P 5C2, Canada
cmip6 | CanESM5 |  | CCCma, Canadian Centre for Climate Modelling and Analysis, Victoria, BC V8P 5C2, Canada
cmip6 | E3SM-1-0 |  | E3SM-Project, LLNL (Lawrence Livermore National Laboratory, Livermore, CA 94550, USA); ANL (Argonne National Laboratory, Argonne, IL 60439, USA); BNL (Brookhaven National Laboratory, Upton, NY 11973, USA); LANL (Los Alamos National Laboratory, Los Alamos, NM 87545, USA); LBNL (Lawrence Berkeley National Laboratory, Berkeley, CA 94720, USA); ORNL (Oak Ridge National Laboratory, Oak Ridge, TN 37831, USA); PNNL (Pacific Northwest National Laboratory, Richland, WA 99352, USA); SNL (Sandia National Laboratories, Albuquerque, NM 87185, USA). Mailing address: LLNL Climate Program, c/o David C. Bader, Principal Investigator, L-103, 7000 East Avenue, Livermore, CA 94550, USA
cmip6 | EC-Earth3 |  | EC-Earth-Consortium, AEMET, Spain; BSC, Spain; CNR-ISAC, Italy; DMI, Denmark; ENEA, Italy; FMI, Finland; Geomar, Germany; ICHEC, Ireland; ICTP, Italy; IDL, Portugal; IMAU, The Netherlands; IPMA, Portugal; KIT, Karlsruhe, Germany; KNMI, The Netherlands; Lund University, Sweden; Met Eireann, Ireland; NLeSC, The Netherlands; NTNU, Norway; Oxford University, UK; surfSARA, The Netherlands; SMHI, Sweden; Stockholm University, Sweden; Unite ASTR, Belgium; University College Dublin, Ireland; University of Bergen, Norway; University of Copenhagen, Denmark; University of Helsinki, Finland; University of Santiago de Compostela, Spain; Uppsala University, Sweden; Utrecht University, The Netherlands; Vrije Universiteit Amsterdam, the Netherlands; Wageningen University, The Netherlands. Mailing address: EC-Earth consortium, Rossby Center, Swedish Meteorological and Hydrological Institute/SMHI, SE-601 76 Norrkoping, Sweden
cmip6 | EC-Earth3 |  | EC-Earth-Consortium, KNMI, The Netherlands; SMHI, Sweden; DMI, Denmark; AEMET, Spain; Met Eireann, Ireland; CNR-ISAC, Italy; Instituto de Meteorologia, Portugal; FMI, Finland; BSC, Spain; Centro de Geofisica, University of Lisbon, Portugal; ENEA, Italy; Geomar, Germany; Geophysical Institute, University of Bergen, Norway; ICHEC, Ireland; ICTP, Italy; IMAU, The Netherlands; IRV, Sweden;  Lund University, Sweden; Meteorologiska Institutionen, Stockholms University, Sweden; Niels Bohr Institute, University of Copenhagen, Denmark; NTNU, Norway; SARA, The Netherlands; Unite ASTR, Belgium; Universiteit Utrecht, The Netherlands; Universiteit Wageningen, The Netherlands; University College Dublin, Ireland; Vrije Universiteit Amsterdam, the Netherlands; University of Helsinki, Finland; KIT, Karlsruhe, Germany; USC, University of Santiago de Compostela, Spain; Uppsala Universitet, Sweden; NLeSC, Netherlands eScience Center, The Netherlands
cmip6 | EC-Earth3-AerChem |  | EC-Earth-Consortium, AEMET, Spain; BSC, Spain; CNR-ISAC, Italy; DMI, Denmark; ENEA, Italy; FMI, Finland; Geomar, Germany; ICHEC, Ireland; ICTP, Italy; IDL, Portugal; IMAU, The Netherlands; IPMA, Portugal; KIT, Karlsruhe, Germany; KNMI, The Netherlands; Lund University, Sweden; Met Eireann, Ireland; NLeSC, The Netherlands; NTNU, Norway; Oxford University, UK; surfSARA, The Netherlands; SMHI, Sweden; Stockholm University, Sweden; Unite ASTR, Belgium; University College Dublin, Ireland; University of Bergen, Norway; University of Copenhagen, Denmark; University of Helsinki, Finland; University of Santiago de Compostela, Spain; Uppsala University, Sweden; Utrecht University, The Netherlands; Vrije Universiteit Amsterdam, the Netherlands; Wageningen University, The Netherlands. Mailing address: EC-Earth consortium, Rossby Center, Swedish Meteorological and Hydrological Institute/SMHI, SE-601 76 Norrkoping, Sweden
